Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Implicit Accuracy (tn/(tn+fn))
winter,305,attr,F1,(skier & skipole) | (skier & slope) | (slope & snowboarder),(slope & skier) | (slope & snowboarder) | (skipole & skier),0.1109,0.0718,0.2426,74,1030,305,104967,152,2958,0.9985540197
full,1758,attr,F1,(bowl & cup) | (bowl & glass) | (food & glass) | (glass & plate),(bowl | glass) & (cup | glass) & (bowl | food | plate),0.1108,0.0823,0.1695,298,3621,1758,87090,1001,19986,0.9886367506
outfit,1070,obj,F1,(court & racket) | (court & tennis) | (court & tennisplayer) | (court & tennisracket) | (racket & tennisplayer) | (tennis & tennisracket),(tennis & court) | (tennis & tennisracket) | (tennisplayer & court) | (tennisplayer & racket) | (court & racket) | (court & tennisracket),0.1102,0.0831,0.1636,175,2106,1070,103799,845,3433,0.9919250029
entrance,651,obj,F1,(arch & arched) | (arch & column) | (arch & doorway) | (arch & shop) | (arched & column) | (arched & doorway) | (arched & shop) | (column & shop) | (doorway & shop),(arch | arched | shop) & (arch | column | arched | doorway) & (arch | column | doorway | shop) & (column | arched | doorway | shop),0.1101,0.1146,0.106,69,602,651,102655,429,4993,0.9958383454
cream,1644,attr,F1,(cocoa) | (dessert) | (pillow),pillow | cocoa | dessert,0.11,0.0768,0.194,319,4155,1644,102597,1325,4155,0.9872500529
shutter,433,obj,F1,(balcony & house) | (balcony & roman) | (driveway & house) | (house & porch) | (house & roman) | (porch & roman),(roman | house) & (porch | balcony | house) & (porch | balcony | driveway | roman),0.1098,0.1088,0.1109,48,441,433,101701,246,6130,0.9975869815
bouffant,648,attr,F1,(cloud & downy) | (cloud & mountain),cloud & (mountain | downy),0.1096,0.0723,0.2269,147,2034,648,93931,157,13989,0.9983313494
busy,341,attr,F1,(cab & city) | (cab & intersection) | (cab & trafficlight) | (city & trafficlight) | (intersection & trafficlight),(cab | trafficlight) & (cab | intersection | city) & (intersection | trafficlight | city),0.1092,0.0981,0.1232,42,428,341,103988,213,3876,0.9979558737
newspaper,390,obj,F1,(magazine) | (read),magazine | read,0.1092,0.0726,0.2205,86,1185,390,106588,304,1185,0.9971560079
high,1378,attr,F1,(close) | (heel),heel | close,0.109,0.101,0.1183,163,1614,1378,105248,1215,1614,0.9885875844
plastic,539,obj,F1,(cardboard & fictile) | (container & package) | (fictile & fruit) | (fictile & package),(fictile | container) & (fictile | package) & (cardboard | package | fruit),0.109,0.1008,0.1187,64,635,539,97583,251,10243,0.9974344297
rectangular,1922,attr,F1,(arrow & sign) | (arrow & square) | (round & sign) | (round & square) | (sign & square) | (square & window),(sign | square) & (round | arrow | square) & (round | sign | window | arrow),0.109,0.0751,0.1988,382,5086,1922,65605,500,41972,0.9924362756
show,1280,rel,F1,(clocktime) | (scene) | (tooth),scene | tooth | clocktime,0.1087,0.0803,0.168,215,2677,1280,104335,1065,2677,0.9898956357
bend,895,attr,F1,(bent) | (crouch),crouch | bent,0.1086,0.0741,0.2034,182,2457,895,104907,713,2457,0.9932493846
four,1140,attr,F1,(five & one) | (five & six) | (five & three) | (one & six) | (one & three) | (one & two) | (six & three) | (six & two) | (three & two),(one | six | three) & (one | six | two | five) & (one | two | five | three) & (six | two | five | three),0.1084,0.1924,0.0754,86,447,1140,101262,857,5958,0.9916078301
discontinue,219,rel,F1,(busstop & station) | (busstop & stopped) | (intersection & stopped) | (intersection & taillight) | (stopped & taillight),(busstop & station) | (busstop & stopped) | (taillight & stopped) | (taillight & intersection) | (stopped & intersection),0.1083,0.1789,0.0776,17,95,219,105487,118,2472,0.9988826287
wind,184,obj,F1,(chime) | (parasail) | (windsurfer),parasail | chime | windsurfer,0.1082,0.1029,0.1141,21,204,184,107710,163,204,0.9984889639
homemade,134,attr,F1,(pizzacutter) | (pizzasauce) | (uncooked),pizzasauce | pizzacutter | uncooked,0.1081,0.0905,0.1343,18,199,134,107762,116,199,0.9989247112
pair,1416,attr,F1,(gymshoe) | (ski),gymshoe | ski,0.1081,0.0678,0.2662,377,5560,1416,101478,1039,5560,0.9898650955
rub,174,attr,F1,(cancel) | (scuff),cancel | scuff,0.1081,0.1647,0.0805,14,85,174,107832,160,85,0.9985184088
airborne,530,attr,F1,jump,jump,0.108,0.0796,0.1679,89,1118,530,106518,441,1118,0.9958769248
project,355,attr,F1,(fryingpan) | (shady),fryingpan | shady,0.1076,0.1146,0.1014,36,314,355,107444,319,314,0.9970398003
intertwine,154,attr,F1,(bride) | (doily) | (lacy),bride | doily | lacy,0.1075,0.0804,0.1623,25,311,154,107637,129,311,0.998802962
pictureframe,248,obj,F1,(coffeetable & mantle) | (coffeetable & painting) | (framed & visualize) | (mantle & painting) | (painting & visualize),(mantle & painting) | (mantle & coffeetable) | (framed & visualize) | (painting & coffeetable) | (painting & visualize),0.1075,0.1278,0.0927,23,180,248,104746,145,3186,0.9986176126
apartment,209,obj,F1,(apartmentbuilding) | (condominium),apartmentbuilding | condominium,0.1074,0.1798,0.0766,16,89,209,107795,193,89,0.9982127644
filled,510,attr,F1,(cocoa & doughnut) | (cocoa & fill) | (cocoa & glassy) | (fill & sugar) | (glassy & sugar),(sugar | cocoa) & (doughnut | glassy | fill) & (cocoa | glassy | fill),0.1074,0.1478,0.0843,43,291,510,105245,396,2436,0.9962514554
apparent,467,attr,F1,(doughnut & frosting) | (doughnut & glassy) | (frosting & glassy) | (glassy & scattering),(glassy | doughnut) & (glassy | frosting) & (doughnut | scattering | frosting),0.1072,0.1243,0.0942,44,354,467,106216,397,1464,0.9962762515
african,149,attr,F1,(elephant & savannah) | (ivory & plain),(savannah & elephant) | (ivory & plain),0.107,0.2632,0.0671,10,38,149,105477,85,2515,0.999194786
cloaked,412,attr,F1,(foil) | (gift) | (negligee) | (wrap),gift | wrap | foil | negligee,0.107,0.083,0.1505,62,747,412,106980,350,747,0.9967390292
flap,160,obj,F1,(mudflap) | (nosecone),nosecone | mudflap,0.107,0.1566,0.0813,13,83,160,107847,147,83,0.9986388133
stay,1625,rel,F1,(put) | (tongue),tongue | put,0.1069,0.0716,0.2105,342,4776,1625,102018,1283,4776,0.9875799847
pool,722,obj,F1,(boggy & water) | (boggy & wet) | (mud & water) | (mud & wet) | (swim & water) | (water & wet),(water | wet) & (boggy | mud | water) & (swim | boggy | mud | wet),0.1066,0.0714,0.2105,152,2130,722,93776,215,14086,0.9977125469
tee,232,attr,F1,(cotton & girl's) | (cotton & jersey) | (girl's & jersey) | (girl's & theright) | (girl's & tshirt) | (jersey & theright) | (theright & tshirt),(jersey | theright | girl's) & (jersey | tshirt | girl's) & (cotton | theright | girl's) & (jersey | cotton | theright | tshirt),0.1066,0.1954,0.0733,17,87,232,104539,139,3399,0.9986721183
polo,224,attr,F1,(onlooker) | (poloshirt),onlooker | poloshirt,0.1065,0.1579,0.0804,18,114,224,107757,206,114,0.9980919389
guard,346,obj,F1,(bat & mask) | (catcher & mask) | (mask & umpire),mask & (bat | umpire | catcher),0.1064,0.0931,0.1243,43,462,346,105420,254,2403,0.9975963813
outstretched,327,attr,F1,(arm & crash) | (arm & dispersed) | (arm & sprinkle),arm & (crash | dispersed | sprinkle),0.1064,0.0941,0.1223,40,425,327,97866,94,10117,0.9990404247
powercord,112,obj,F1,(charge) | (controlknob) | (extensioncord) | (laptopscreen),controlknob | charge | laptopscreen | extensioncord,0.1064,0.0882,0.1339,15,170,112,107810,97,170,0.9991010778
seaweed,141,obj,F1,(beach & flaxen & footprint) | (beach & flaxen & shore) | (beach & sand & shore) | (footprint & sand & shore),(shore & flaxen & beach) | (shore & footprint & sand) | (shore & beach & sand) | (flaxen & footprint & beach),0.1064,0.0659,0.2766,39,592,141,102444,29,5604,0.9997169986
healthy,399,attr,F1,(broccoli & carrot) | (broccoli & meal) | (carrot & meal) | (meal & vegetable),(broccoli | meal) & (meal | carrot) & (broccoli | vegetable | carrot),0.1063,0.1049,0.1078,43,410,399,105003,297,2777,0.9971794872
canvas,103,obj,F1,(easel) | (poll) | (stern),stern | easel | poll,0.1062,0.0763,0.1748,18,236,103,107756,85,236,0.9992118026
figure,364,obj,F1,(angel & statue) | (decoration & figurine) | (decoration & statue) | (figurine & sculpture) | (figurine & statue),(statue | figurine) & (decoration | sculpture | statue) & (decoration | angel | figurine),0.1062,0.1593,0.0797,29,182,364,105013,240,2824,0.99771978
work,591,attr,F1,(apron) | (laptop) | (worker),laptop | worker | apron,0.1062,0.0635,0.3232,191,3007,591,104670,400,3007,0.9961930142
trail,503,obj,F1,(ski & way) | (skier & skipole),(skipole & skier) | (way & ski),0.1059,0.0888,0.1312,66,743,503,103492,281,4304,0.9972921666
wide,1496,attr,F1,(below & close) | (below & long) | (below & tall) | (below & thin) | (close & long) | (close & tall) | (long & thin),(long | close | below) & (long | below | tall) & (close | thin | below) & (long | close | thin | tall),0.1058,0.0884,0.1317,197,2229,1496,76069,624,31384,0.9918636642
sunlight,928,obj,F1,(clamber) | (glitter) | (through),clamber | through | glitter,0.1057,0.0808,0.153,142,1758,928,105533,786,1758,0.9926071539
fog,161,obj,F1,(haze) | (mist),haze | mist,0.1056,0.122,0.0932,15,123,161,107808,146,123,0.9986475721
blinker,111,obj,F1,(daze) | (rearview) | (tailpipe),tailpipe | daze | rearview,0.1053,0.0903,0.1261,14,155,111,107825,97,155,0.9991012027
cool,114,attr,F1,(darling) | (heat) | (irregular) | (pepperonipizza),pepperonipizza | heat | darling | irregular,0.1053,0.1158,0.0965,11,95,114,107879,103,95,0.9990461373
item,1280,obj,F1,(bottle & object) | (bottle & shelf) | (counter & room) | (object & room) | (object & shelf) | (room & shelf),(room & shelf) | (room & counter) | (room & object) | (bottle & shelf) | (bottle & object) | (shelf & object),0.105,0.0932,0.1203,154,1653,1280,93282,674,14121,0.9928264294
inarow,166,attr,F1,(downtown) | (forlanding) | (inaline) | (totheright),inaline | forlanding | totheright | downtown,0.1049,0.125,0.0904,15,120,166,107806,151,120,0.998601295
crystal,223,attr,F1,(chandelier) | (goblet),chandelier | goblet,0.1047,0.0825,0.1435,32,388,223,107498,191,388,0.9982263741
memorial,135,obj,F1,(celebrated) | (plaque) | (washington),plaque | celebrated | washington,0.1043,0.0738,0.1778,24,325,135,107641,111,325,0.9989698567
mow,136,attr,F1,(ballplayer & baseballdiamond) | (ballplayer & baseballfield) | (baseballcatcher & baseballdiamond),(ballplayer & baseballfield) | (ballplayer & baseballdiamond) | (baseballdiamond & baseballcatcher),0.1043,0.1467,0.0809,11,75,136,107123,112,842,0.9989555649
stocking,114,obj,F1,(christmas) | (gift) | (tights),gift | tights | christmas,0.1042,0.0727,0.1842,21,289,114,107695,93,289,0.9991371952
fortennis,111,attr,F1,(court & racket & tennisball) | (court & tennisball & tennisplayer) | (court & tenniscourt & tennisplayer),court & (tennisball | tennisplayer) & (tennisball | tenniscourt) & (tennisplayer | racket),0.1041,0.0617,0.3333,37,600,111,104835,9,3233,0.9999141582
stick,1683,obj,F1,(elephant) | (log) | (ski),log | ski | elephant,0.104,0.067,0.2317,390,5818,1683,100966,1293,5818,0.9873556362
signalfire,128,obj,F1,(signal & trafficlight) | (signal & trafficsign) | (trafficlight & traintrack),(trafficlight & traintrack) | (trafficlight & signal) | (trafficsign & signal),0.1039,0.0681,0.2188,28,411,128,104933,56,3088,0.9994666108
standing,125,obj,F1,(blacken & denounce) | (blacken & the) | (denounce & the) | (sitting & whiten) | (the & whiten),(sitting & whiten) | (denounce & the) | (denounce & blacken) | (the & whiten) | (the & blacken),0.1039,0.1132,0.096,12,106,125,106420,88,1569,0.999173771
block,723,obj,F1,(cement & concrete) | (cement & stone) | (cement & stove) | (concrete & knife) | (knife & stone) | (knife & stove),(knife | cement) & (stone | stove | concrete),0.1037,0.0889,0.1245,90,1012,723,95396,354,12327,0.9963028721
citystreet,116,obj,F1,(citybus) | (citysidewalk) | (taxicab),taxicab | citysidewalk | citybus,0.1037,0.0909,0.1207,14,154,116,107821,102,154,0.9990548817
beautiful,1304,attr,F1,(cunning) | (nice),cunning | nice,0.1036,0.1427,0.0813,106,743,1304,106136,1198,743,0.9888385786
two,1463,attr,F1,(a) | (the) | (whiten),the | whiten | a,0.1034,0.0892,0.123,180,2019,1463,104775,1283,2019,0.9879028456
center,886,obj,F1,(left & right) | (left & vase) | (petal & right) | (petal & root) | (petal & vase) | (root & vase),(petal & vase) | (petal & root) | (petal & right) | (vase & root) | (vase & left) | (left & right),0.1032,0.1048,0.1016,90,859,886,101828,685,5564,0.9933179207
sole,231,obj,F1,(gymshoe & lace) | (gymshoe & shoelace) | (lace & shoelace) | (lace & skateboard) | (shoelace & skateboard),(lace | shoelace) & (gymshoe | skateboard | lace) & (gymshoe | skateboard | shoelace),0.1032,0.0761,0.1602,37,486,231,102466,98,5513,0.999044499
baseline,110,obj,F1,(baseballdiamond) | (judge) | (third),judge | third | baseballdiamond,0.103,0.0694,0.2,22,317,110,107672,88,317,0.9991833705
nice,453,attr,F1,(attractive) | (great) | (pretty),pretty | attractive | great,0.103,0.1002,0.106,48,479,453,107193,405,479,0.9962359895
refer,862,rel,F1,(pet) | (thumb) | (touch),thumb | pet | touch,0.103,0.0886,0.123,106,1197,862,106124,756,1197,0.9929266467
shallow,320,attr,F1,(beach & boggy) | (beach & river) | (beach & shore) | (beach & stream) | (boggy & river) | (boggy & stream) | (river & stream) | (shore & stream),(river | stream | beach) & (boggy | stream | beach) & (river | boggy | stream | shore) & (river | boggy | beach | shore),0.103,0.0724,0.1781,57,787,320,102798,150,5129,0.9985429537
analogue,110,attr,F1,(hour & roman) | (hour & romannumeral) | (hour & twelve) | (hourhand & roman) | (hourhand & romannumeral) | (romannumeral & twelve),(romannumeral & hour) | (romannumeral & twelve) | (romannumeral & hourhand) | (hour & roman) | (hour & twelve) | (roman & hourhand),0.1028,0.0909,0.1182,13,143,110,106957,69,1051,0.9993552968
present,1266,attr,F1,(exist) | (here) | (smile),here | smile | exist,0.1027,0.0614,0.3144,398,6487,1266,100722,868,6487,0.991455852
manicured,170,attr,F1,(hedge & lawn) | (hedge & trimmed) | (lawn & trimmed),(lawn & hedge) | (lawn & trimmed) | (hedge & trimmed),0.1026,0.1359,0.0824,14,103,170,106440,124,1513,0.99883638
liner,132,obj,F1,(trash & trashbag) | (trash & trashcan) | (trash & wastepaperbasket) | (trashbag & trashcan) | (trashcan & wastepaperbasket),(trashcan | trash) & (trashbag | wastepaperbasket | trashcan) & (trashbag | wastepaperbasket | trash),0.1023,0.1325,0.0833,11,83,132,107084,95,898,0.9991136323
compartment,157,obj,F1,(pistol) | (refrigeratordoor) | (speedometer) | (storagecompartment),refrigeratordoor | speedometer | storagecompartment | pistol,0.1022,0.1197,0.0892,14,117,157,107817,143,117,0.9986754353
hosiery,464,obj,F1,(fireengine) | (shower) | (showerhead),fireengine | shower | showerhead,0.1022,0.0819,0.1358,63,769,464,106907,401,769,0.9962630932
lean,1320,attr,F1,(bend) | (tend),bend | tend,0.1022,0.0835,0.1318,174,2084,1320,104847,1146,2084,0.9891879652
slab,274,obj,F1,(cement & cementslab) | (cement & concrete) | (cement & parkbench) | (cementslab & concrete) | (concrete & gap) | (concrete & parkbench),(concrete | cement) & (parkbench | concrete | cementslab) & (parkbench | gap | cementslab | cement),0.1022,0.071,0.1825,50,704,274,101031,100,6946,0.9990111835
cooler,359,obj,F1,(dugout) | (watercooler),dugout | watercooler,0.102,0.0984,0.1058,38,386,359,107370,321,386,0.9970192495
number,487,attr,F1,(eight & numeral) | (eight & seven) | (newjersey & numeral) | (numeral & seven) | (numeral & six),(seven | numeral) & (numeral | eight) & (seven | newjersey | eight | six),0.1019,0.0824,0.1335,65,789,487,100097,165,7815,0.9983543117
bulge,250,obj,F1,(bull & horn) | (eyelash & horn) | (eyelash & ivory) | (horn & ivory) | (horn & nostril),(eyelash | horn) & (horn | ivory) & (nostril | bull | eyelash | ivory),0.1017,0.0844,0.128,32,379,250,104441,167,3469,0.9984035638
handrail,139,obj,F1,(bannister & measure & step) | (measure & stairway & step),step & measure & (stairway | bannister),0.1017,0.1237,0.0863,12,97,139,104976,84,3017,0.9992004569
lighted,240,attr,F1,(christmasbush & glow) | (clockface & glow) | (clockface & illuminated) | (glow & night) | (illuminated & night),(glow | illuminated) & (christmasbush | night | clockface) & (night | clockface | glow),0.1017,0.1579,0.075,18,114,240,104600,142,3335,0.9986442879
tend,1223,rel,F1,(bicycle & lean) | (bicycle & sit) | (lean & sit) | (lean & wear) | (sit & talk),(sit | lean) & (sit | wear | bicycle) & (bicycle | talk | lean),0.1017,0.0894,0.1177,144,1610,1223,67511,338,40228,0.9950183496
haul,102,rel,F1,(coal) | (drag) | (flatcar),drag | flatcar | coal,0.1016,0.0844,0.1275,13,154,102,107834,89,154,0.999175338
bourgogne,468,attr,F1,maroon,maroon,0.1015,0.0743,0.1603,75,1010,468,106674,393,1010,0.9963294012
calendar,151,obj,F1,(calender) | (magnet),calender | magnet,0.1015,0.0762,0.1523,23,302,151,107647,128,302,0.9988123405
furniture,315,obj,F1,(coffeetable & shockabsorber) | (coffeetable & sofa) | (ottoman & patio) | (ottoman & shockabsorber) | (ottoman & sofa) | (patio & sofa),(patio & sofa) | (patio & ottoman) | (coffeetable & shockabsorber) | (coffeetable & sofa) | (shockabsorber & ottoman) | (sofa & ottoman),0.1015,0.0808,0.1365,43,532,315,104425,178,3474,0.998298328
maroon,1010,attr,F1,bourgogne,bourgogne,0.1015,0.1603,0.0743,75,468,1010,106674,935,468,0.9913111357
spout,120,obj,F1,(kettle & pottery) | (kettle & teapot) | (teacup & teapot),(kettle & teapot) | (kettle & pottery) | (teapot & teacup),0.1014,0.1134,0.0917,11,97,120,107335,96,646,0.9991064032
topped,110,attr,F1,(crusted) | (onionring),crusted | onionring,0.1014,0.1028,0.1,11,107,110,107871,99,107,0.9990830786
beckon,303,attr,F1,(american & flag) | (choppy & flag) | (flag & wind),flag & (choppy | american | wind),0.1013,0.076,0.1518,46,605,303,103879,177,4021,0.9982989929
greasy,116,attr,F1,(burned & crusted) | (burned & melted) | (crusted & pepperoni) | (grease & pepperoni),(grease & pepperoni) | (crusted & pepperoni) | (crusted & burned) | (melted & burned),0.1011,0.087,0.1207,14,161,116,106665,62,1350,0.9994190786
amber,126,attr,F1,(beer & liquid) | (blinker & lens),(beer & liquid) | (lens & blinker),0.101,0.1389,0.0794,10,72,126,106199,77,1801,0.9992754714
jaw,110,obj,F1,(earlobe & zebra) | (stomach & zebra),zebra & (earlobe | stomach),0.101,0.1136,0.0909,10,88,110,105640,73,2364,0.9993094511
crown,206,obj,F1,(floret) | (klm) | (lion) | (rolex),rolex | klm | floret | lion,0.1008,0.0862,0.1214,25,290,206,107606,181,290,0.9983207622
lime,468,attr,F1,lemon,lemon,0.1008,0.1117,0.0919,43,385,468,107267,425,385,0.9960535602
lodge,554,attr,F1,(lemon) | (tongue),tongue | lemon,0.1008,0.0769,0.1462,81,1053,554,106551,473,1053,0.9955804306
shopfront,194,obj,F1,(displaywindow) | (storesign) | (storewindow),storewindow | displaywindow | storesign,0.1006,0.1181,0.0876,17,144,194,107756,177,144,0.9983600938
forearm,100,obj,F1,(turkerworker) | (buzz) | (tattoo),buzz | turkerworker | tattoo,0.1005,0.0608,0.29,29,477,100,107529,71,477,0.9993401487
peaky,141,attr,F1,(alga) | (spike) | (spiked) | (zebrahead),spike | alga | zebrahead | spiked,0.1005,0.0778,0.1418,20,257,141,107699,121,257,0.9988777592
surface,1751,obj,F1,(contemplation & edge) | (contemplation & food) | (contemplation & table) | (edge & food) | (edge & part) | (edge & table) | (food & part),(table | edge | food) & (part | edge | contemplation) & (edge | food | contemplation) & (table | part | food | contemplation),0.0998,0.076,0.1451,254,3341,1751,81241,885,25951,0.9892238755
catch,329,attr,F1,jump & frisbee,jump & frisbee,0.0997,0.1146,0.0881,29,253,329,105265,251,2561,0.9976212138
poll,134,attr,F1,(canvas) | (collapsible) | (lug) | (retractable),canvas | retractable | lug | collapsible,0.0997,0.0898,0.1119,15,167,134,107791,119,167,0.9988972292
bookbag,103,obj,F1,(alot & battalion) | (backpack & battalion) | (backpack & inpicture),(backpack & inpicture) | (backpack & battalion) | (battalion & alot),0.0996,0.0823,0.1262,13,158,103,105441,34,2602,0.9996776487
bald,1000,attr,F1,(beard & mustache) | (beard & necktie) | (beard & spectacles) | (mustache & necktie) | (mustache & spectacles) | (necktie & spectacles),(necktie & beard) | (necktie & mustache) | (necktie & spectacles) | (beard & mustache) | (beard & spectacles) | (mustache & spectacles),0.0995,0.0902,0.111,111,1231,1000,99265,648,8164,0.9935143575
frontwindow,184,obj,F1,(pavilion) | (sidewindow) | (sidewindows),sidewindow | pavilion | sidewindows,0.0995,0.0853,0.1196,22,258,184,107657,162,258,0.9984974819
booth,301,obj,F1,(office) | (telephonebooth),office | telephonebooth,0.0994,0.0909,0.1096,33,363,301,107446,268,363,0.9975119297
bootless,364,attr,F1,tanktop,tanktop,0.0994,0.0707,0.1676,61,863,364,106911,303,863,0.9971738765
gutter,169,obj,F1,(downspout) | (drainpipe) | (shingled),shingled | drainpipe | downspout,0.0994,0.0983,0.1006,17,173,169,107752,152,173,0.9985913405
apparel,1238,obj,F1,(bag & bed) | (bag & blanket) | (bag & clothing) | (bed & clothing) | (clothing & ski),(bag | clothing) & (bed | ski | bag) & (bed | clothing | blanket),0.0991,0.1326,0.0792,98,739,1238,92319,728,15030,0.9921759971
brickwall,405,obj,F1,(brick & brickbuilding) | (brick & bricked) | (brick & graffito) | (brick & roman) | (brickbuilding & bricked),(bricked | brick) & (brick | brickbuilding) & (bricked | roman | graffito | brickbuilding),0.0991,0.0817,0.1259,51,624,405,99764,86,8227,0.9991387081
hayfield,136,obj,F1,(countryside & pasture) | (grassy & pasture) | (grassy & sheep) | (sheep & tuft),(grassy & pasture) | (grassy & sheep) | (pasture & countryside) | (tuft & sheep),0.0991,0.0729,0.1544,21,288,136,104071,67,3939,0.9993566229
pointed,838,attr,F1,(clocktower & tip) | (pointy & steeple) | (pointy & tip) | (pointy & tower) | (steeple & tower),(tip & clocktower) | (tip & pointy) | (pointy & tower) | (pointy & steeple) | (tower & steeple),0.099,0.1298,0.08,67,516,838,102088,605,5384,0.9941086539
direction,199,obj,F1,(arrow & give) | (arrow & parkingmeter) | (coinslot & parkingmeter) | (parkingmeter & slot),(parkingmeter | give) & (parkingmeter | arrow) & (slot | coinslot | arrow),0.0989,0.1667,0.0704,14,84,199,105432,123,2522,0.9988347307
homo,187,obj,F1,(human) | (oceanwave),human | oceanwave,0.0989,0.0705,0.1658,31,440,187,107481,156,440,0.9985506842
shaped,483,attr,F1,(cast-iron) | (iron) | (wish),cast-iron | wish | iron,0.0989,0.0697,0.1698,82,1176,483,106500,401,1176,0.9962488658
briefcase,145,obj,F1,(baggage & lock) | (baggage & suitcase) | (case & lock),(lock & case) | (lock & baggage) | (suitcase & baggage),0.0988,0.1224,0.0828,12,98,145,105488,96,2493,0.9990907713
color,1131,obj,F1,(blacken) | (the) | (this) | (whiten),whiten | this | blacken | the,0.0988,0.0761,0.1406,159,2089,1131,105016,972,2089,0.9908291505
tarpaulin,604,obj,F1,(racket & tennis) | (racket & tennisplayer) | (tennis & tennisplayer) | (tenniscourt & tennisplayer) | (tenniscourt & tennisracket) | (tennisplayer & tennisracket),(tennis & tennisplayer) | (tennis & racket) | (tennisplayer & tenniscourt) | (tennisplayer & racket) | (tennisplayer & tennisracket) | (tenniscourt & tennisracket),0.0987,0.065,0.2053,124,1908,604,104413,439,3225,0.9958131461
hanger,248,obj,F1,(airdock) | (basin),basin | airdock,0.0985,0.0929,0.1048,26,280,248,107575,222,280,0.9979405735
google,120,obj,F1,(goggles & skisuit) | (skiboot & skier) | (skiboot & skipants) | (skier & skipants) | (skier & skisuit),(goggles & skisuit) | (skisuit & skier) | (skipants & skier) | (skipants & skiboot) | (skier & skiboot),0.0984,0.0714,0.1583,19,266,120,105411,46,2620,0.9995638033
enjoy,435,attr,F1,(desire) | (family) | (get) | (out),get | out | family | desire,0.0983,0.0738,0.1471,64,867,435,106839,371,867,0.9965395019
circle,2032,obj,F1,(clock & letter) | (clock & numeral) | (letter & numeral) | (letter & round) | (numeral & round) | (round & sign),(round & letter) | (round & numeral) | (round & sign) | (letter & numeral) | (letter & clock) | (numeral & clock),0.0982,0.0705,0.1614,328,4651,2032,73578,822,33677,0.9889516129
spectacle,146,obj,F1,(lightskinned) | (rimmed) | (skinned),skinned | rimmed | lightskinned,0.0982,0.0587,0.3014,44,750,146,107225,102,750,0.9990496334
detect,107,rel,F1,(action) | (trainer) | (visitor) | (zookeeper),trainer | visitor | action | zookeeper,0.098,0.1031,0.0935,10,97,107,107883,97,97,0.9991016855
and,2389,rel,F1,(food & vegetable) | (of & plate) | (of & table) | (table & vegetable),(vegetable & food) | (vegetable & table) | (of & plate) | (of & table),0.0978,0.0644,0.203,485,7526,2389,57689,679,49709,0.9883669134
triangular,546,attr,F1,(pizzaslice) | (triangle),triangle | pizzaslice,0.0978,0.0859,0.1136,62,722,546,106871,484,722,0.9954915933
another,128,attr,F1,(bedsheets) | (elaborate) | (more) | (vacate),more | bedsheets | vacate | elaborate,0.0976,0.1017,0.0938,12,118,128,107843,116,118,0.998925518
curly,857,attr,F1,(blond & hair) | (girl & hair) | (hair & wavy),hair & (wavy | girl | blond),0.0973,0.0565,0.3512,301,5329,857,86882,93,21102,0.9989307272
debris,396,obj,F1,(broken & dirty) | (broken & rubbish) | (dirty & litter) | (dirty & rubbish) | (dirty & seaweed) | (litter & rubbish),(dirty | rubbish) & (dirty | broken | litter) & (broken | rubbish | litter | seaweed),0.0973,0.1122,0.0859,34,303,396,102437,276,5364,0.997312901
file,108,obj,F1,(officechair) | (tapedispenser),officechair | tapedispenser,0.0973,0.0932,0.1019,11,118,108,107862,97,118,0.9991015108
shingled,115,attr,F1,(dormer) | (shingle),dormer | shingle,0.0973,0.0748,0.1391,16,214,115,107764,99,214,0.999082169
coaster,180,obj,F1,(beer & chump) | (beer & coffeemug) | (chump & wireless) | (coffeemug & coffeetable),(chump & wireless) | (chump & beer) | (coffeetable & coffeemug) | (coffeemug & beer),0.0972,0.1791,0.0667,12,67,180,105700,125,2252,0.9988188046
associate,834,rel,F1,(attach & chain) | (attach & cord) | (attach & pipe) | (attach & wire) | (chain & pipe) | (chain & wire) | (cord & wire) | (pipe & wire),(pipe | wire | attach) & (wire | attach | chain) & (pipe | wire | chain | cord) & (pipe | attach | chain | cord),0.0971,0.076,0.1343,112,1474,834,94764,362,12951,0.996194521
doorframe,181,obj,F1,(brass & toiletseat) | (doorway & switch) | (doorway & toiletseat) | (hinge & switch),(brass & toiletseat) | (toiletseat & doorway) | (doorway & switch) | (switch & hinge),0.0971,0.1172,0.0829,15,128,181,104529,100,3448,0.999044242
signpost,268,obj,F1,(gestural & stop) | (gestural & streetsign) | (gestural & thyroxine) | (gestural & trafficsign) | (stop & thyroxine) | (streetsign & thyroxine) | (streetsign & trafficsign),(trafficsign | gestural | thyroxine) & (gestural | thyroxine | streetsign) & (gestural | streetsign | stop) & (trafficsign | thyroxine | streetsign | stop),0.097,0.1057,0.0896,24,227,268,104853,163,3061,0.9984478556
deep-set,177,attr,F1,(backsplash & ceiling) | (backsplash & fixture) | (ceiling & ceilinglight),(ceiling & ceilinglight) | (ceiling & backsplash) | (fixture & backsplash),0.0969,0.125,0.0791,14,112,177,103817,65,4195,0.9993742901
grate,551,obj,F1,(drain) | (manhole) | (sewer),sewer | drain | manhole,0.0969,0.0747,0.1379,76,1017,551,106585,475,1017,0.9955632356
